index,Name,Release date,Price,Average playtime forever,Developers,Publishers,Genres,About the game,Estimate users,Estimated gross profit,Review score,Total days,Extras trophy,Operating System,year
2549,One More Dungeon,2015-11-23,4.99,87,Stately Snail,Stately Snail,"Action,Indie,RPG","One More Dungeon is a first person shooter roguelike with procedurally generated levels and pixel-art graphics. Being a nameless adventure seeker, you have to get to the final level of the dungeon and destroy the obelisks, which is being used by forces of Evil to invade the world. Use a melee weapon, magic staffs, and antique artefacts, to burst way through the hordes of enemies inhabiting a few game areas. Key features: Fusion of old school FPS and Roguelike games. Procedurally generated levels. Permadeath 30+ types of enemies and 80+ items. Parallel universe with manually created locations. Sanity level, reduced by using of artefacts. Set of mutators, selected before the game started and modifying the gameplay.",613,3058.8700000000003,338,2960,15,True,2015
5562,Trash TV,2015-02-23,6.99,5,Lawrence Russell,Reverb Triple XP,"Adventure,Indie","Welcome to the world of Trash TV. Cast away into a recycling center, you play an outdated tube television animated to life with a singular goal – find your remote control and become fully functional again. Navigate through the perilous pathways of the recycling factory, avoid machines set out to flatten and pulverize you into scrap parts, and pick up various weapons of wicked destruction to solve puzzles through explosive solutions and to use against haywire machines. A finalist of Intel’s Level Up 2011 game development contest, Trash TV’s addicting action and clever puzzle design is coupled with a haunting background brilliantly set by the chilling ambient tunes. Thematic visuals with a “fuzzy” screen style and static transitions completes the retro video charm. Each of the six different locations will have different puzzles to decipher and obstacles to maneuver through, with the solutions usually involving one of eight lethal weapons. From double uzis that blast through crates, C4 explosives to trigger floor panels, to the rocket launcher that can blast your TV character across the screen through “rocket jumping” techniques, the tricky puzzles in Trash TV will often require a careful yet explosive solution. Key Features Weapon Solutions : Take control of eight powerful weapons ranging from pistols, paired Uzi machineguns, shotguns, and rocket launchers to solve clever puzzles. Oh, and of course – blow $#!% up. Six Locations to Explore : Traverse six different areas, each with their own devious traps, obstacles and enemies. Explosive Puzzle Solving : Use your arsenal of weaponry in a myriad of ways to get through tough obstacles, devious traps, and malfunctioning machines. Thematic Visuals : Stylized visuals to match the tube television main character, bars n' tone screens, and static noise transitions. Ambient Soundtrack : A chilling ambient soundscape adds to the 'machine graveyard' background of the recycling factory levels.",124,866.76,94,3233,0,True,2015
39473,ORBIT,2015-09-30,6.99,20,4Bit Games,4Bit Games,"Action,Indie","*Warning: ORBIT is a local multiplayer only game. No single player or online is available. Anyway it's a totally nuts game, grab some friends and try it!* BOOOOM, SPACEWRECK! Maneuver your ship between planets at breakneck speeds and take gravity into account as you crush your competitors with an epic spaceship arsenal. Use special abilities like shields and teleportation to defeat your enemies, and level up between fights as the madness intensifies in this twin-stick multiplayer space brawler! Duke it out in a big selection of game modes, and discover a tech-tree with countless options and different paths. Engage in fierce and swift-flowing combats, or design your own battles with the custom game mode, in which you can choose and set up the victory conditions, orbitals on your map and the length of the matches. Want more? Try the random map generator! Features Crazy local multiplayer for 2-4 players couch-powered madness 9 game modes: Capture, Kill, Survive, Mayhem and MORE! Randomly generated maps for a fresh experience every game Design and create your own modes and battles with Forge Level-up system with spaceship upgrades and paths for total customization Super hot particle infused graphics Thrilling soundtrack by Wierz Bare-knuckled orbital amusement Game modes Tournament Modes: Destroy: Crush the enemy with brutal force in this straight up brawl. First to wreck 10 kills wins! Annihilate: Carefully outmaneuver your competitors in this insanely nerve-wracking climb to the top! You must be the last wartorn survivor to win. Conquer: In conquer you must elegantly keep track of all elements of the map, and use gravity to your advantage. Capture zones of extreme gravity to win! Survive: Face your rivals... and an insane amount of asteroids. The longest surviving spaceship wins! Mayhem Modes: Knifeparty: Every spaceship is equipped with an epic space-warping katana. Teleport over the enemy to split his spaceship in two! Tennis: In tennis the spaceships all have huge shields capable of ricocheting even the fastest rockets! Squash: When playing the squash mode all rockets bounce off the walls. Madness ensues! Rocketfest: Upon impact, all rockets duplicate to achieve exponential fun and destruction! Homing: Do you think you can avoid the rockets? Now they home in on the enemy... and you!",25,174.75,11,3014,8,True,2015
38906,Tennis Elbow 2013,2015-03-13,14.99,0,Mana Games,Mana Games,"Simulation,Sports","Created by and for tennis fans, Tennis Elbow 2013 is a tennis simulation with an easy and intuitive learning curve, but with exceptional gameplay depth. In this tennis game, you'll have to show all your tactical skills, use an iron mind and quick reflexes, as well as a sharp eye to guess the ball trajectories, all of this to choose your next strike wisely. To beat your opponent, you have the choice between all the possible strikes on a real court, from the safe strike to the acceleration, including the drop shot and the topspin lob. This tennis simulation is designed for all tennis lovers, whether gamepad mashers or keyboard novices, because of its numerous difficulty levels. In addition, a visual help system will assist you in aiming the ball and positioning your player. You can turn these options on and off whenever it suits you. TE2013 features one of the most complete World Tour ever made in a tennis video game. With 3000 players evolving over 36 years, competing in 300 tournaments each year, from the low rank tournament qualifications to the top level event finals, both in singles and doubles competition, you’ll feel like diving in a real professional tennis player’s career. Tennis Elbow game engine is very open to modifications and TE2013 has an active Modding community. Features: 9 different court surfaces : clay, green clay, grass, hard, blue-green hard, classic synthetic, NewLine synthetic, indoor hard and indoor synthetic; each with a specific rebound 300 tournaments, with 3500 players evolving over 38 years The Country Cup Singles &amp; doubles competitions 6 difficulty levels, each split in 10 sublevels Full ranking system 3D male &amp; female players fully customizable Singles, 3, and doubles games Split screen Network : LAN and online games (only available on the Windows version, not on the Mac OSX &amp; Linux versions) 1 to 6 games per set, in best of 1, 3 or 5 sets 7 camera modes Game is very Modding friendly Warning: You can play doubles with 4 human players on 1 computer, or on 2 computers with 2 players per computer by LAN or Internet, but not on 4 computers. Copyright 2008-2015 Emmanuel Rivoire. This item is not authorized for posting on Steam, except under the Steam account named ManuTOO .",669,10028.31,560,3215,57,True,2015
48029,Mech Marines: Steel March,2015-01-09,0.0,0,ByteTrail Software,ByteTrail Software,"Strategy,Early Access","Mech Marines is a strategic game inspired by Metal Marines (SNES, 1993 by Namco Bandai Games). Build up your island with unique buildings. Defend it at all cost. Attack your opponent with missiles and figure out a leak in the defense to destroy the enemy's bases with your Mech Marines. Equip them with various weapons. Play online against your friends. Key features Fast and action-packed gameplay 12 unique buildings provide a simple and fast gameplay with many strategic possibilities 3 different types of Mech Marines Multiplayer (1 vs 1) Server list and lobby Multiple maps with various islands and settings",32,0.0,0,3278,0,True,2015
30914,STATIC: Investigator Training,2015-04-14,0.79,0,Ethereal Darkness Interactive,Strategy First,"Adventure,Casual,Indie","In Static: Investigator Training, you will play the role of Julie Masters, an ambitious fan of all things Paranormal; who recently requested membership with Berkshire Paranormal. Julie will investigate the mansion and surrounding areas collecting evidence; though paranormal events have been documented at the mansion Julie ends up uncovering an interesting addition to the ghostly history.",32,25.28,4,3183,0,True,2015
17396,East Tower - Takashi (East Tower Series Vol. 2),2015-05-27,2.99,114,ROSEVERTE,ROSEVERTE,"Adventure,Casual,Indie,Simulation","East Tower is a romance mystery visual novel with romancable guys, which has a lot of comedy scenes. We suggest you to play based on this order: Akio - Takashi - Kuon - Kurenai . In East Tower - Takashi, you'll be partnered with the super positive guy, Takashi. STORY Sakuya Morita (name is changeable) was given a chance to try the latest virtual game attraction, East Tower. Within the game, players can transform into whatever they want to. Sakuya chose to transform into a man. She was excited at first, but then a sudden accident happened and she was trapped with four other men. Later, they decided to partner up and proceed to beat the game in pairs, hoping that it would be the way out. Before Sakuya decided who she would pick, a pretty woman came and asked her to be her partner. Even though she appears to be a pretty woman, she should be a man in real life, since all the participants beside her are males. So why did he choose to be a woman? And so their adventure begins... CAST Takashi - Souta Higurashi Takashi (child) - Jun Haruki Pretty Lady (Yoshimi Yasuda) - misaki Akio - Taichi Tanukida Akio (Child) - Eruru Takeda Kuon - Lerage Redhead Man (Kurenai) - Sakato Daiki Morita - Yuya Kakitsubata Mysterious Boy - Mitsuki Touzaki OTHER INFO OFFICIAL SITE: / FACEBOOK PAGE: TWITTER:",39,116.61,7,3140,21,True,2015
56308,Mysteries & Nightmares: Morgiana,2015-04-13,7.99,0,Little Games Company,Little Games Company,"Adventure,Casual","You woke up in an abandoned castle on the cliff, not knowing who or where you are. But is this place really abandoned? Fireplaces are still burning, strange voices echo all over the place, and wild magic is seeping through every wall. Step by step you are unraveling mysteries of the castle, you learn the art of crafting magical artifacts and even the forgotten secret of traveling to entirely different worlds. As you gradually discover clues and put them together, your memories come back to you and you find out the hidden mystery is much more personal than you thought. - Beautiful vivid environments. Magical castle, its Frozen Underground, Jungles, Volcanoes and much more. - Dozens of challenging hidden object scenes. - Magical Items, Mind-twisting puzzles. - Movie-like cinematic scenes.",6,47.94,6,3184,0,True,2015
43653,Party Hard,2015-08-25,9.99,213,"Pinokl Games,Kverta",tinyBuild,"Action,Indie,Strategy","Party Hard 2 is coming! / NOW WITH LOCAL CO-OP! In Party Hard, you play as someone who is really tired of their neighbours having loud parties. Instead of calling the police, you decide it’s a better idea to take everyone down using your faithful knife and the environment. The story of this tactical strategy follows a series of killings at parties throughout the USA. The developers used to work mostly on casual, family-friendly games until they participated in a game jam, making the first prototype for Party Hard. TinyBuild backed up the original authors, Pinokl Games, to create a full version that is now on Steam! Party Hard has semi-procedurally generated environments and focuses on unique ways of killing people. In the greatest traditions of stealth games, your main goal is not to get caught while silently picking off unsuspecting victims one by one. Dancing and blending in in a suspicious situation is key. A (not)serious story that follows a series of murders throughout the USA 19 unique levels with random variations on each one Use traps, cause explosions, become a ninja Multiple unlock-able characters Local co-op multiplayer Special random events, like a bear coming in and killing everyone for you Trigger the DEA, SWAT, paramedics or firefighters to come and ruin the party 5 Playable Characters! The guy who wants to get some sleep The ninja who is fast, stealthy, has a smoke bomb, but shouldn't be seen The cop who can carry bodies around without suspicion, and frame innocent people The girl who can knock people out The butcher who has a chainsaw Play the game live on Twitch and let your viewers impact what's happening! Yes, you can let your Twitch viewers mess with you while you’re playing Party Hard. They can cause all sorts of chaos like inviting more people to the party, calling in special forces, bringing Sharknados, and more!",8634,86253.66,6685,3050,30,True,2015
54867,Why Am I Dead At Sea,2015-05-11,4.99,0,Peltast Software,Peltast Software,"Adventure,Indie,RPG","You are on a boat at sea. Also, you are dead. To figure out why, you will need to inhabit the other residents of the ship and use them to investigate what led to your untimely demise. As a ghost, you can take control of characters in the game, and talk to others - based on who you are controlling and who you are talking to, there is a unique conversation. With each combination of characters leading to a different interaction based on their relationship or chemistry, your challenge is to find the interactions that will reveal pertinent information. Understand what makes your shipmates tick, and uncover the secrets that they hold. Investigate an intricate mystery where few are who they seem and everyone has a secret. Meet nine unique and developed characters, with their own personal fears and ambitions. Use your ghost powers to possess bodies and read minds. Recover your former identity to upgrade your ghastly powers. Unlock multiple endings and decide the fate of the story. The game also features an amazing soundtrack by Bill Kiley .",372,1856.28,336,3156,27,True,2015
