index,Name,Release date,Price,Average playtime forever,Developers,Publishers,Genres,About the game,Estimate users,Estimated gross profit,Review score,Total days,Extras trophy,Operating System,year
52932,Dead Pixels,2012-12-07,2.99,123,CSR-Studios,CSR-Studios,"Action,Indie,RPG","A toxic waste spill finds its way into the water supply, causing the recently deceased to rise from their graves. Now it's up to you to blast your way through the hordes of undead if you're going to escape the city. On the way to your rescue, you'll search stores and houses for supplies, and trade with other survivors. With three game modes, hundreds of items, weapons and grenades, and a city that is never the same twice, there is always something new hiding round the corner in Dead Pixels. When the Dead Start Walking, It's Time to Run. Key Features: Over 100 weapons, grenades and items A procedurally generated city, that's different every time you play 3 different modes of play 4 different difficulty modes Single player and two player local co-op Online leaderboards 30 achievements",2383,7125.17,1749,4041,30,True,2012
12590,Hitman: Absolution™,2012-11-19,19.99,979,Io-Interactive A/S,Io-Interactive A/S,Action,"Hitman: Absolution follows the Original Assassin undertaking his most personal contract to date. Betrayed by the Agency and hunted by the police, Agent 47 finds himself pursuing redemption in a corrupt and twisted world. Key Features Showcasing Glacier 2™ technology: HITMAN: ABSOLUTION has been built from the ground up, boasting a cinematic story, distinctive art direction and highly original game and sound design. Freedom of Choice: Stalk your prey, fight them head on or adapt as you go along. As Agent 47 the choice is yours thanks to highly evolved gameplay mechanics and a ground-breaking AI system. Experience a Living, Breathing World: In the world of Hitman: Absolution every moment can become a story as unique characters, rich dialogue and Hollywood standard performances combine to create a gameplay experience like no other. Disguises: As Agent 47, the identity of almost anyone you meet is yours for the taking. Immobilise your prey, steal their outfit and use your instinct to blend in and deceive your enemies. Instinct Mode: See the world through the eyes of Agent 47 and become the world’s deadliest assassin. Using Hitman: Absolution’s Instinct Mode you’ll predict enemy movement, discover new ways to kill and use high powered weaponry with deadly accuracy.",38579,771194.21,31780,4059,47,True,2012
6995,Realm of the Mad God Exalt,2012-02-20,0.0,922,"Wild Shadow Studios,Deca Games",Deca Games,"Action,Free to Play,Indie,Massively Multiplayer,RPG","Realm of the Mad God is the first ever free to play Bullet Hell MMO. Team up with dozens of players and battle through the Realm of the Mad God, Oryx. With a retro 8-bit style, Realm is an evolution of traditional MMO gameplay. 18 classes and hundreds of items to discover means Realm is easy to play but difficult to master. Key Features Action combat! No turn-based battles here only skilled running and gunning. Epic boss battles. Navigate demented waves of bullets from nasty demons. True cooperative play. All experience is shared and you win by playing together. Great 8-bit art: Retro styling straight from the 8-bit era. Eighteen unique character classes. Play as a powerful wizard, a clever mystic, a brawling warrior. Loot! Hundreds of weapons, potions, armors, and rings. PermaDeath. Dying well means something in Realm. Earn fame if you survive for long enough and kill enough monsters. Sheep. The sheep say 'Baa.'",43381,0.0,28405,4332,34,True,2012
38005,McPixel,2012-09-25,4.99,129,Sos Sosowski,Sos Sosowski,"Action,Adventure,Indie","McPixel is a save-the-day guy that you guide through 100 short challenges in an old-school point'n'click fashion. The goal in each challenge is to prevent stuff from blowing up using available tools! You have only 20 seconds to save the day! Think quick! Key features: 100 mindblowing levels Bonuses, secrets and more Free DLC for everyone! 185 BMP ear piercing music! Switchable pixel filters Level creator McPixel Fart Along McPixel Social Largest pixels on the market up to date! Save the day the McPixel way!",3749,18707.51,2535,4114,0,True,2012
53543,Din's Curse,2012-08-22,9.99,372,Soldak Entertainment,Soldak Entertainment,"Action,Indie,RPG","Din's Curse is a single player and co-op multiplayer action RPG with 141 class combinations, infinite number of dynamically generated towns, real consequences, and a dynamic, evolving world. Din, champion of the gods, has cursed you into a second life of service because you selfishly squandered your first one while causing misfortune to those around you. To redeem yourself, you must impress Din by building a reputation for helping others. Travel the spacious western plains of Aleria and save desperate towns from the brink of annihilation. Until you're redeemed, you're doomed to wander the earth alone for all eternity. In Din's Curse, you will explore an extensive underground, slaying dangerous monsters, solving dynamic quests, dodging deadly traps, and in your spare time, plundering loot. Quell uprisings, flush out traitors, kill assassins, cure plagues, purge curses, end wars, and complete other dangerous quests or the danger WILL escalate. Not all is as it seems though, traitors will gladly stab you in the back, renegades can revolt against the town, spies can set up ambushes, and items might even curse or possess your friends. Choose one of 141 class combinations and journey to an infinite number of dynamically generated towns with vastly different problems. Every game is a surprise! Your actions have real consequences in this dynamic, evolving world. Your choices actually matter! Open the door to Din's Curse. Surprising adventures await! Key Features Uniquely created worlds for every game, with different monsters, items, quests, and even townspeople give the player a new experience every time Explore a dynamic, evolving, living world Many hybrid classes to experience - 6 full classes, 18 specialties, 141 total combinations Your choices truly impact the game Surprising, emergent gameplay Co-op multiplayer to adventure with friends",210,2097.9,147,4148,52,True,2012
43104,Dishonored,2012-10-08,9.99,757,Arkane Studios,Bethesda Softworks,"Action,Adventure","Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal. Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn. The outcome of each mission plays out based on the choices you make. Story: Dishonored is set in Dunwall, an industrial whaling city where strange steampunk- inspired technology and otherworldly forces coexist in the shadows. You are the once-trusted bodyguard of the beloved Empress. Framed for her murder, you become an infamous assassin, known only by the disturbing mask that has become your calling card. In a time of uncertainty, when the city is besieged by plague and ruled by a corrupt government armed with industrial technologies, dark forces conspire to bestow upon you abilities beyond those of any common man – but at what cost? The truth behind your betrayal is as murky as the waters surrounding the city, and the life you once had is gone forever. Key features: Improvise and Innovate Approach each assassination with your own style of play. Use shadow and sound to your advantage to make your way silently through levels unseen by foes, or attack enemies head-on as they respond to your aggression. The flexible combat system allows you to creatively combine your abilities, supernatural powers and gadgets as you make your way through the levels and dispatch your targets. Improvise and innovate to define your play style. Action with Meaning The world of Dishonored reacts to how you play. Move like a ghost and resist corruption, or show no mercy and leave a path of destruction in your wake. Decide your approach for each mission, and the outcomes will change as a result. Supernatural Abilities Teleport for stealth approaches, possess any living creature, or stop time itself to orchestrate unearthly executions! Combining your suite of supernatural abilities and weapons opens up even more ways to overcome obstacles and eliminate targets. The game’s upgrade system allows for the mastery of deadly new abilities and devious gadgets. A City Unlike Any Other Enter an original world envisioned by Half-Life 2 art director Viktor Antonov. Arkane and Bethesda bring you a steampunk city where industry and the supernatural collide, creating an atmosphere thick with intrigue. The world is yours to discover.",68600,685314.0,64596,4101,85,True,2012
36865,Rotastic,2012-10-11,4.99,0,Dancing Dots,Focus Entertainment,"Action,Casual","Rotastic is an addictive 2D arcade game, offering accessible, innovative and original gameplay, and a huge dose of fun without taking itself too seriously. Behind very simple swinging mechanics hides a deep gameplay with numerous possibilities to challenge your reflexes, ingenuity, and skills! Collect items, escape deadly traps, send your opponents flying to their doom, smash bricks, execute aerial acrobatics, burst chickens to dust and feathers, or top the fastest speedruns! The solo campaign spreading across 7 worlds and nearly 70 levels offers hours of fun, with a wide range of gameplay to value replayability! Pit your skills against your friends and the players from around the world by beating the best scores for every one of each level! Rotastic offers local battle mode, for up to 4 players to either race for item collecting, or tried-and-true deathmatch. Multiplayer is intense and full of fun! Accessible controls for addictive, pick-up-and-play swinging action! 70 levels with varied objectives and ever-increasing difficulty A simple game mechanic, which builds into deep gameplay: solve puzzles, collect items, fight foes, survival, acrobatic moves, brick-breaker… and sometimes all of that at once! 4 player local multiplayer, compete against friends!",37,184.63,27,4098,12,True,2012
8361,To the Moon,2012-09-07,9.99,210,Freebird Games,Freebird Games,"Adventure,Indie,RPG","Dr. Rosalene and Dr. Watts have peculiar jobs: They give people another chance to live, all the way from the very beginning... but only in their patients' heads. Due to the severity of the operation, the new life becomes the last thing the patients remember before drawing their last breath. Thus, the operation is only done to people on their deathbeds, to fulfill what they wish they had done with their lives, but didn’t. This particular story follows their attempt to fulfill the dream of an elderly man, Johnny. With each step back in time, a new fragment of Johnny's past is revealed. As the two doctors piece together the puzzled events that spanned a life time, they seek to find out just why the frail old man chose his dying wish to be what it is. And Johnny's last wish is, of course... to go to the moon. Key Features A unique &amp; non-combat story-driven experience Innovative mix between adventure game elements and classic RPG aesthetics Acclaimed original soundtrack that closely ties to the story An espresso execution with zero filler and no time drains",62325,622626.75,57801,4132,6,True,2012
50114,Super Crate Box,2012-08-29,0.0,104,Vlambeer,Vlambeer,"Action,Free to Play,Indie","Vlambeer's SUPER CRATE BOX is coming to bring back the glory of the golden arcade age, when all that really mattered was getting on that high score list. Grab your baseball cap and loosen your pants, it's time to fight endless hordes of enemies and collect every weapon crate you can. Prepare for an arcade delight with tight controls, refreshing game mechanics, cracking retro art and a terribly hip chiptune soundtrack.",6581,0.0,5113,4141,0,True,2012
40773,Snuggle Truck,2012-02-03,4.99,63,Owlchemy Labs,Owlchemy Labs,"Casual,Indie,Racing","Welcome to Snuggle Truck , the award winning over-the-top physics-based indie driving game. Save your cargo of crazy animals by delivering them to the zoo unscathed in the least amount of time. Tilt your truck, catch the fuzzies, drive over armadillos, and rocket your way through hills, caverns, and deserts. Perform backflips and navigate loops, harsh terrain, and unexpected obstacles all while attempting not to crush the poor animals. Key Features: Exciting 'One More Time' Gameplay Easy-to-learn physics gameplay that's hard to master. Collect medals for successful runs and gather rewards for different play styles. Beautifully Rendered Cartoon Art Hand-painted by none other than famed LucasArts artist Bill Tiller, known for his work on Curse of Monkey Island. Leaderboards and Achievements A smattering of silly achievements and multiple leaderboards to compare your best times against friends.",458,2285.42,287,4349,11,True,2012
36306,Emergency 2013,2012-11-09,0.0,0,Quadriga Games,Deep Silver,Strategy,"The ultimate Emergency collection! Emergency 2013 includes the entire content of EMERGENCY 2012 DELUXE! Take command of the paramedics, fire brigade, police and disaster relief. Send your teams on heart-stopping real-time missions to deal with disasters in Europe‘s major cities. Extinguish major fires, track down buried victims and save entire cities from disaster. Key Features New scenario: A supervolcano threatens Europe! Four new missions playing in Vienna, the Eifel, on Sylt and St. Peter‘s Square at the Vatican! New free-play map from the Volcano Scenario. Numerous new cutscenes that take you right into the action New units including the Fire Brigade Drone.",12,0.0,12,4069,0,True,2012
42202,GTR 2 FIA GT Racing Game,2012-12-12,7.99,11,SimBin Studios AB,SimBin,"Racing,Simulation,Sports","The Game That Revolutionized the Racing Genre. The successor to the international award-winning racing simulation GTR accurately represents the challenges of Motorsport racing. The detailed, photo-realistic depiction of these powerful cars and beautiful circuits, thanks to the graphics technology, and the enhanced driving model will make your adrenaline rise in one of more than one hundred HP-beasts. Beginners can start with the driving school where they are taught the basics of race driving by a professional instructor. Thanks to dynamic day, night and weather changes and an impressive damage system, the races of the exciting FIA GT series become a thrilling gaming experience. Since the release of GTR2 in September 2006, the game has received widespread acclaim. GTR2 simulates the 2003 and 2004 FIA GT Championship racing series. Key Features Realism has been redefined: Authentic physics, dynamic day and weather changes as well as an impressive damage model Great variety: Grand touring cars reproduced down to the last detail including all vehicles of the GT and NGT classes and the 24H races from two FIA GT seasons Original circuits: 34 different track variations Tough competition: Human-like AI opponents Scalable levels: 3 different game modes (Novice, Semi-Pro and Simulation) Great fun: 6 game events (Open practice, Race weekend, – Championships, Time trials, 24 Hour Races, Driving school) International competition: Fully integrated multiplayer mode for racing against other human drivers from all over the world. Cars Included: BMW M3 GTR BMW Z3 Coupe Corvette C5-R Gillet Vertigo Streiff Lister Storm Lotus Elise Lamborghini Murcielago Maserati MC12 Morgan Aero 8 Mosler MT900 Nissan 350Z Saleen S7-R Seat Toledo TVR T400R Viper GTS-R Viper Competition Coupe",257,2053.43,218,4036,0,True,2012
10243,Thomas Was Alone,2012-11-12,9.99,179,Bithell Games,Bithell Games,Indie,"Thomas Was Alone, and then, Well, he Wasn't. Thomas Was Alone is an indie minimalist 2D platformer about friendship and jumping and floating and anti-gravity. Guide a group of rectangles through a series of obstacles, using their different skills together to get to the end of each environment. Listen to awesome music by David Housden. Jump over rectangles meticulously placed by Mike Bithell. Listen to voiceover read wistfully and a bit amusingly by Danny Wallace. Thomas Was Alone tells the story of the world's first sentient AIs, and how they worked together to, well, not escape: Escape is a strong word. 'Emerge' might be better. 'Emerge' has an air of importance about it, while keeping the myriad plot twists and superhero origin stories you'll discover under wraps. We didn't even mention the bouncing. That'd be overkill. Key Features Beat 100 levels, and uncover the story of the AIs. Utilize the unique skills of 10+ characters. Immerse yourself in David Housden's critically acclaimed procedural score. Chuckle along to Danny Wallace's narration.",8747,87382.53,7699,4066,35,True,2012
42191,eXceed - Gun Bullet Children,2012-08-02,2.99,76,Flat Software,Nyu Media,"Action,Indie","Humanity is at war against vampires and deviants. Mankind's last line of defense is a group of children trained to wield powerful magic that can rival the demonic hordes, but at the cost of most of their lifespan. Likened to bullets of a gun, they are known as the ‘Gun Bullet Children’. The time is NOW! A vampire invasion force has been detected in the airspace above Tokyo Portal 5. Preliminary reports indicate over 500 vampires and accompanying Killings Dolls with reinforcing hordes of deviant humans. The first line of defenses has been obliterated and the Gun Bullet Children are scrambled to launch a counter-assault and stop the invasion. Key Features: 3 playable characters with individual storylines 5 stages of bullet hell and boss battles Slowdown feature for precise maneuvering Graze system that will test your nerve and charge your super-weapon Original Japanese import version with English language manual NOTE: In-game Japanese text will not be displayed correctly unless the OS language is set to 'Japanese'.",468,1399.3200000000002,-39,4168,1,True,2012
22376,Quantum Conundrum,2012-06-21,8.99,224,Airtight Games,Square Enix,"Casual,Strategy","When you, as a young boy, are dropped off to visit your uncle, you notice something’s wrong. First, he’s not there to greet you. Second, there’s the explosion that happened right as you arrived. And third, the house seems to be even weirder than you remembered it. Now, your job is to find—and ultimately rescue—your uncle, by using his newest invention, the Interdimensional Shift Device (or IDS), to switch between dimensions and solve puzzles. That sofa too heavy to move? There’s a dimension for that! Switch to Fluffy Dimension and that sofa is now light as a feather. Need to get up to a high ledge? There’s a dimension for that! Just switch to Anti-Gravity Dimension and things begin to float upward. Need to make things heavier? There’s a dimension for th—well, you get the idea. Switch dimensions in real time, work your way through the crazy complex mansion wings and rescue your uncle!",1892,17009.08,1305,4210,28,True,2012
8914,Iron Brigade,2012-08-13,14.99,654,Double Fine Productions,Double Fine Productions,"Action,Strategy","Join The Mobile Trench Brigade and protect humanity from the evil Monovision menace in this Tower Defense Shooter from Tim Schafer's Double Fine Productions. Use a combination of mobile firepower and stationary defenses to turn the tide of war in our favor. Customize your trench with thousands of possible loadouts. March side-by-side with allies from around the world as you fight your way through Europe, Africa, and the Pacific. After defeating the monovision threat across Europe, Africa, and The Pacific, continue your service in the mobile trenches with Iron Brigade: Rise of the Martian Bear. Face Vlad’s most horrific new Monovision Constructs in a brand new Martian Campaign. Unlock over 80 new pieces of loot to battle the Tubes in 4 defense missions, 2 survival missions, and an all new Boss mission!",975,14615.25,664,4157,23,True,2012
11256,Midnight Mysteries 3: Devil on the Mississippi,2012-03-28,9.99,0,MumboJumbo,MumboJumbo,"Adventure,Casual","Down by the deep and muddy Mississippi, something’s not right. A ghostly riverboat brings to light a new conspiracy for players to unravel in this all-new Midnight Mystery. Mark Twain’s ghost has come to you seeking help from an evil that has been stalking him in the afterlife. Trace the steps in Twain’s past that led to a lifetime of anguish. Twain’s passion for literary history reignites a controversial debate about the true identity of Shakespeare; the age-old question resurrects a series of malevolent characters. After waking an unexpected evil, Twain sets about to rid his time of the darkness, but the plot only thickens. With Twain’s help, you have to unravel the connections to try and set history straight while dangerous forces loom. Who wrote the works of Shakespeare? And just how did Mark Twain get caught up in a strange Elizabethan rivalry all those years later? Find out in this Midnight Mystery! Key Features: Complete all-new adventure missions by searching through hidden objects for tools, collecting additional tools to solve brain-teasing puzzles and interviewing apparitions from the past Figure out the connection between humorist Twain and the Elizabethan Shakespeare Detailed hint system to help you at any step along the way Collector’s Edition Includes: Exclusive Bonus Mission! Explore all of Twain’s secrets Helpful fully-integrated Strategy Guide Peek behind the scenes with a treasure of Concept Art 12 Beautifully illustrated Wallpapers Bonus “Dem Bones” Game Mode Explore the Panic Room to relive all the special effects",110,1098.9,58,4295,16,True,2012
